StockCode,Description,Category,UnitCost,UnitPrice,LeadTimeDays,ShelfLifeDays,Supplier,MinOrderQty
SKU10069,POPPY'S PLAYHOUSE BEDROOM,Toys,20.36,36.32,13,365,SUP122,20
SKU10070,PLUSH BEAR LARGE,Toys,25.61,41.08,16,365,SUP127,20
SKU10071,DOLL HOUSE WOODEN,Toys,1.86,3.24,15,365,SUP100,100
SKU10072,TOY CAR DIE-CAST,Toys,21.92,35.99,15,365,SUP118,50
SKU10073,PUZZLE 500PC LANDSCAPE,Toys,2.43,4.3,14,365,SUP124,20
SKU10074,BOARD GAME FAMILY,Toys,14.46,28.5,13,365,SUP125,20
SKU10075,ACTION FIGURE HERO,Toys,6.76,14.76,14,365,SUP127,10
SKU10076,RC HELICOPTER MINI,Toys,16.64,27.55,15,365,SUP111,10
SKU10077,BUILDING BLOCKS 200PC,Toys,15.14,24.49,15,365,SUP129,50
SKU10078,STUFFED ANIMAL DOG,Toys,17.14,35.88,16,365,SUP117,100
SKU10079,BABY RATTLE WOODEN,Toys,16.77,36.59,14,365,SUP127,20
SKU10080,PLAY DOUGH SET,Toys,3.04,6.69,16,365,SUP129,50
SKU10081,COLORING SET CRAYON,Toys,13.59,23.13,12,365,SUP125,20
SKU10082,WOODEN TRAIN SET,Toys,5.18,10.35,12,365,SUP107,10
SKU10083,KITE COLORFUL,Toys,10.36,16.16,16,365,SUP121,10
SKU10084,FRISBEE BEACH,Toys,11.35,22.72,14,365,SUP104,20
SKU10085,RED WOOLLY HOTTIE WHITE HEART,Apparel,4.28,9.04,23,180,SUP114,10
SKU10086,KNITTED UNION FLAG HOT WATER BOTTLE,Apparel,19.65,30.42,23,180,SUP111,100
SKU10087,HAND WARMER UNION JACK,Apparel,8.25,15.04,22,180,SUP100,20
SKU10088,LUNCH BAG SPACEBOY DESIGN,Apparel,20.79,39.24,20,180,SUP121,10
SKU10089,TOTE BAG CANVAS,Apparel,36.08,71.84,20,180,SUP125,50
SKU10090,SCARF KNITTED WOOL,Apparel,27.48,44.23,23,180,SUP112,100
SKU10091,BEANIE HAT WINTER,Apparel,33.43,52.34,20,180,SUP116,100
SKU10092,GLOVES PAIR LEATHER,Apparel,32.02,50.18,22,180,SUP117,50
SKU10093,SOCKS PACK COTTON,Apparel,29.42,54.32,21,180,SUP110,10
SKU10094,T-SHIRT COTTON WHITE,Apparel,32.59,53.07,20,180,SUP110,100
SKU10095,HOODIE FLEECE,Apparel,13.67,27.73,20,180,SUP128,50
SKU10096,JACKET LIGHT NYLON,Apparel,27.16,52.51,20,180,SUP107,10
SKU10097,UMBRELLA COMPACT,Apparel,31.29,68.83,20,180,SUP118,10
SKU10098,BACKPACK CASUAL,Apparel,25.73,43.71,20,180,SUP112,50
SKU10099,WALLET LEATHER BIFOLD,Apparel,42.5,71.18,23,180,SUP128,10
SKU10100,BELT LEATHER BLACK,Apparel,25.37,47.45,21,180,SUP116,50
SKU10101,CAP SUMMER BASEBALL,Apparel,19.78,37.71,23,180,SUP111,10
SKU10102,SHOES CASUAL CANVAS,Apparel,34.06,56.95,21,180,SUP108,20
SKU10103,SLIPPERS HOUSE,Apparel,40.22,72.98,19,180,SUP121,10
SKU10104,PYJAMA SET COTTON,Apparel,38.26,72.48,22,180,SUP128,10
SKU10105,BLUETOOTH SPEAKER PORTABLE,Electronics,111.53,214.08,15,720,SUP113,50
SKU10106,HEADPHONES OVER-EAR,Electronics,134.62,238.39,16,720,SUP104,50
SKU10107,USB CABLE TYPE-C,Electronics,87.8,156.57,16,720,SUP103,10
SKU10108,POWER BANK 10000MAH,Electronics,122.2,201.02,16,720,SUP120,20
SKU10109,PHONE CASE SILICONE,Electronics,158.37,243.95,13,720,SUP104,50
SKU10110,SCREEN PROTECTOR GLASS,Electronics,116.32,223.61,13,720,SUP114,100
SKU10111,WEBCAM HD,Electronics,109.09,176.69,12,720,SUP128,20
SKU10112,KEYBOARD WIRELESS,Electronics,20.52,34.77,13,720,SUP108,20
SKU10113,MOUSE OPTICAL USB,Electronics,107.66,224.6,16,720,SUP104,20
SKU10114,LED BULB SMART,Electronics,129.57,246.86,12,720,SUP121,100
SKU10115,SMART PLUG WIFI,Electronics,44.6,70.62,16,720,SUP103,100
SKU10116,FITNESS TRACKER,Electronics,48.27,103.42,16,720,SUP111,20
SKU10117,TABLET STAND ALUMINUM,Electronics,90.3,180.69,14,720,SUP106,20
SKU10118,HDMI CABLE 2M,Electronics,59.14,130.77,15,720,SUP129,20
SKU10119,CHARGER ADAPTER FAST,Electronics,114.13,189.13,12,720,SUP106,10
SKU10120,FACE CREAM MOISTURIZING,Beauty,20.96,42.14,8,540,SUP127,10
SKU10121,LIP BALM NATURAL,Beauty,4.8,8.64,12,540,SUP105,20
SKU10122,NAIL POLISH RED,Beauty,3.01,4.68,12,540,SUP114,10
SKU10123,SHAMPOO HERBAL,Beauty,4.08,6.43,11,540,SUP104,100
SKU10124,CONDITIONER SILK,Beauty,22.55,35.02,9,540,SUP114,10
SKU10125,BODY LOTION VANILLA,Beauty,8.21,16.14,8,540,SUP120,20
SKU10126,PERFUME 50ML FLORAL,Beauty,23.14,36.72,8,540,SUP110,100
SKU10127,MAKEUP BRUSH SET,Beauty,26.63,57.69,11,540,SUP123,100
SKU10128,HAIR DRYER COMPACT,Beauty,11.03,22.8,11,540,SUP125,100
SKU10129,FACE MASK PACK 5,Beauty,13.48,23.79,11,540,SUP104,10
SKU10130,SOAP BAR ARTISAN,Beauty,10.03,18.56,8,540,SUP108,10
SKU10131,HAND CREAM SHEA,Beauty,15.42,27.03,12,540,SUP112,20
SKU10132,EYESHADOW PALETTE,Beauty,5.28,8.27,10,540,SUP104,50
SKU10133,LIPSTICK MATTE,Beauty,25.88,55.47,9,540,SUP126,10
SKU10134,FOUNDATION LIQUID,Beauty,7.04,13.23,8,540,SUP117,100
SKU10135,TEA LOOSE LEAF EARL GREY,Food & Bev,15.53,29.57,2,90,SUP124,20
SKU10136,COFFEE BEANS ARABICA,Food & Bev,14.12,25.05,1,90,SUP101,10
SKU10137,HONEY JAR ORGANIC,Food & Bev,6.58,13.03,4,90,SUP116,10
SKU10138,OLIVE OIL EXTRA VIRGIN,Food & Bev,19.47,29.99,5,90,SUP122,10
SKU10139,CHOCOLATE BOX ASSORTED,Food & Bev,13.27,22.06,3,90,SUP116,10
SKU10140,BISCUITS PACK BUTTER,Food & Bev,6.69,14.07,3,90,SUP112,10
SKU10141,JAM JAR STRAWBERRY,Food & Bev,4.39,7.01,2,90,SUP127,50
SKU10142,PASTA DRY PENNE,Food & Bev,2.51,4.29,2,90,SUP121,20
SKU10143,SAUCE BOTTLE TOMATO,Food & Bev,12.85,25.11,1,90,SUP121,100
SKU10144,SPICE MIX CURRY,Food & Bev,10.8,17.27,1,90,SUP116,100
SKU10145,NUT MIX ROASTED,Food & Bev,7.97,14.92,5,90,SUP120,20
SKU10146,DRIED FRUIT MIX,Food & Bev,10.55,21.42,4,90,SUP101,20
SKU10147,CEREAL BOX MUESLI,Food & Bev,10.76,18.63,3,90,SUP118,50
SKU10148,ENERGY BAR PROTEIN,Food & Bev,12.35,22.07,1,90,SUP123,50
SKU10149,HERBAL TEA CHAMOMILE,Food & Bev,7.18,12.5,3,90,SUP116,10
